['[빔스터] 110년 전통 고다치즈 3종'],['재구매해요 '],"
심심할때 먹으면 맛있어요 짭짤하고 고소해요
",['2020-10-25'],['7']
['[빔스터] 110년 전통 고다치즈 3종'],['고다치즈 무난하니 괜찮네요 '],"
치즈를 잘 먹는 편은 아닌데 첨 도전해봤어요. 
파르미지아노 레지아노랑 비슷한 류 같은데 더 먹기 쉬워요 ㅎㅎ
고르곤졸라는 큰 실패를 하구요. 조심하세요^^..
고다치즈는 무난하니 괜찮습니다.
",['2020-10-25'],['8']
['[카스텔로] 덴마크 브리 치즈'],['좋아요 '],"
과일이랑 잘 어울려서 샐러드에 넣어 먹으면 맛있어요
",['2020-11-05'],['1']
['[카스텔로] 덴마크 브리 치즈'],['브리치즈.. '],"
집에 사과가 있는데..요즘 브리치즈랑사과 같이 먹는게 유행이길래..주문했어요~
",['2020-11-05'],['2']
['[카스텔로] 덴마크 브리 치즈'],['제일 맛있어요 '],"
여기 브리 치즈가 제일 맛있네요 재구매입니다
",['2020-11-05'],['12']
['[카스텔로] 덴마크 브리 치즈'],['브리치즈 '],"
맥주 안주로 최고예요
맛있어서 벌써 몇 번째 구매인지 모르겠네요
",['2020-11-05'],['8']
['[카스텔로] 덴마크 브리 치즈'],['브리 치즈 '],"
적당한 가격이길래 주문해봤어요 ㅎㅎ 호두랑 꿀이나 시럽 올려서 먹으면 맛있어요>< 향이 진하지 않아서 처음 드셔보시는 분들도 부담 없이 시도할 수 있을 것 같아요.
",['2020-11-05'],['9']
['[카스텔로] 덴마크 브리 치즈'],['후기 '],"
구워서 먹으니 맛나요
 ",['2020-11-05'],['3']
['[카스텔로] 덴마크 브리 치즈'],['굿 '],"
와인안주로 베리굿이에요
",['2020-11-05'],['2']
['[카스텔로] 덴마크 브리 치즈'],['브리치즈구이 하려고 구매해봤어요 '],"
견과류 올려서 오븐에 좀 돌리고 꿀이나 메이플 시럽 뿌려 먹으니 와인 안주로 딱 좋아요
",['2020-11-04'],['1']
['[카스텔로] 덴마크 브리 치즈'],['괜찮아요 '],"
특유의 치즈 향이 잘 살아나네요 
꾸덕한 식감이 좋아요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 브리 치즈'],['좋아요 '],"
재구매했어요. 구운 식빵에 넣어서 쨈 바르면 맛있어요. 크림치즈보다는 건강에도 좋고
",['2020-11-04'],['4']
['[카스텔로] 덴마크 브리 치즈'],['브리 '],"
괜찮네요 재구매 의사 있음.
",['2020-11-04'],['7']
['[카스텔로] 덴마크 브리 치즈'],['굿굿 '],"
사과랑 루꼴라랑 같이 샌드위치 해먹으면 최고
",['2020-11-04'],['0']
['[카스텔로] 덴마크 브리 치즈'],['무난무난 '],"
브리치즈 특유의 맛입니다. 무난해요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 브리 치즈'],['좋아요 '],"
재구매했어요 
견과류와 구워먹으니 맛나네요
",['2020-11-04'],['2']
