review_no,category,brand,cheese_name,review_title,review_detail,review_views
23,0,0,블루치즈 크림치즈,맛있어요 ,정말 맛있어요 계속 먹게되어요,32
808,6,24,110년 전통 고다치즈 3종,고다치즈 무난하니 괜찮네요 ,치즈를 잘 먹는 편은 아닌데 첨 도전해봤어요. ,6
787,2,7,고르곤졸라 피칸테,스파게티 ,넣으려구 샀어요 꾸덕한크림스파게티 좋아하거든욤,15
389,5,39,사베치오 파마산,파마산 ,파마산 이번에 처음 구매했어요,5
913,8,32,덴마크 브리 치즈,브리 치즈 구매 ,저 스웨덴 살때 자주 먹던건데 ㅎㅎ 스웨덴껀 없어서 옆나라 덴마크 브리치즈 샀어요 여기서 만나네요! 와인이랑 먹으면 맛나요,2
75,0,0,블루치즈 크림치즈,후기 ,블루치즈 크림치즈는 첨이라 기대해요,10
340,5,39,사베치오 파마산,맛있어요 ,파스타 해먹을 때 마지막에 꼭 뿌려줘요. 너무 맛있어요.,7
515,7,32,덴마크 까망베르 치즈,맛있어요 ,치즈는 사랑♡ 좋아요,7
447,3,28,리코타,담백 ,담백하고 맛있군요. 재구매 예정.,5
345,5,39,사베치오 파마산,사베치오 파마산치즈 ,어디에 곁들여도 맛있어요.,8
763,2,7,고르곤졸라 피칸테,치즈 ,치즈를 손쉽게 구할 수 있어 너무 편하고 좋아요 다 먹으면 재구매하겠습니다,4
20,0,0,블루치즈 크림치즈,재구매 ,블루치즈향 심하지않아요.,28
14,0,0,블루치즈 크림치즈,맛있어요 ,크림치즈는 사랑입니다,8
635,10,14,에멘탈 치즈,치즈 ,아이들이 좋아하는 치즈라 자주 구매합니다.,11
503,7,32,덴마크 까망베르 치즈,만족 ,유통기한 넉넉하네요. 기대됩니다.,4
29,0,0,블루치즈 크림치즈,꼬리꼬리 취향저격!!! ,후기에 꼬리꼬리한 치즈 좋아하면 무조건 사란 글 보고 망설임없이 구매!!’ 정말 취향저격이요!!! 이어 아이비나 참크레커 같은데 발라 먹음 와인 안주로 최고예요!!!!!,67
567,7,32,덴마크 까망베르 치즈,세일 ,하길래 브리 먹어보고 괜찮아서 까망베르 한번 사봤어요~,4
920,8,32,덴마크 브리 치즈,맛있어요 ,브리치즈는 브랜드 상관없이 다 맛있는 것 같아요,0
672,10,14,에멘탈 치즈,괜찮아요 ,딱 샌드위치 생각나는 맛이예요. 샌드위치 만들때 넣으면 아주 맛날듯,13
284,1,9,버팔로 모짜렐라,요것도 부라타 대용으로 좋아요 ,부라타 매번 품절이라 구매했는데 너무 괜찮은거 있죠,4
490,3,28,리코타,음 ,괜찮은 것 같아요!,3
115,4,39,헤리티지 체다,맛있어요. ,물론 너무 비싸요. 하지만 이 치즈가 빠진 샌드위치는 상상할수 없어요,4
42,0,0,블루치즈 크림치즈,오묘한 블루치즈의 맛 ,크래커에 발라 먹으면 오묘한 맛에 서서히 중독됩니다,7
629,10,14,에멘탈 치즈,갓성비 ,"가성비 좋고, 맛도 좋아요~",17
439,3,28,리코타,모르겠어요 ,리코타치즈 자체를 무슨맛으로 먹는지 모르겠어요ㅠㅠ,14
285,1,9,버팔로 모짜렐라,향이 다르긴 하네요 ,버팔로 향이 일반 우유 모짜렐라랑 다르긴 하네요. 전 일반 모짜렐라가 더 취향이긴 합니다. 부라타같은 느낌으로 먹었어요.,23
681,10,14,에멘탈 치즈,좋아요 ,값이 저렴해서 부담없이 요리에 사용하기 좋아요,1
790,2,7,고르곤졸라 피칸테,안젤로 고르곤졸라 ,참 맛있습니다 피자했죠,12
990,8,32,덴마크 브리 치즈,잘 받았습니다 ,이번 상품은 신선함이 떨어지네요,0
247,1,9,버팔로 모짜렐라,부드러워요 ,다른 모짜렐라보다 가운데 부분이 부드러워서 샐러드에 통째로 올려서 나이프로 잘라서 먹어도 괜찮습니다,18
710,2,7,고르곤졸라 피칸테,좋아요 ,진작 살걸 컬리에서 판매하는 줄 몰랐어요,5
985,8,32,덴마크 브리 치즈,맛있어요 ,맛있습니다 쫀득쫀득,5
869,6,24,110년 전통 고다치즈 3종,맛있어요 ,와인 안주로 부담없이 먹기 좋아요 무난무난,10
148,4,39,헤리티지 체다,사토리는 처음 이지만 ,처음 주문하지만 워낙,16
788,2,7,고르곤졸라 피칸테,맛있어요 ,크래커랑 먹으니까 맛있네요.,19
273,1,9,버팔로 모짜렐라,맛있어요 ,샐러드랑 피자에 토핑했는데 맛있어서 잘먹네요,10
212,1,9,버팔로 모짜렐라,고소한듯 ,너무 물컹하지 않고 적당히 씹히는 느낌도 있고 고소한듯,11
243,1,9,버팔로 모짜렐라,맛 ,토마토랑 카프레제 해먹으려고 구매~ 맛있어요,5
933,8,32,덴마크 브리 치즈,맛있어요 ,브리는 진짜 그냥 넘 맛있어요,0
264,1,9,버팔로 모짜렐라,맛잇어요 ,언제나 만족합니다 재구매,2
786,2,7,고르곤졸라 피칸테,곰팡이 괜찮은건지 ,이런 미세한 곰팡이가 퍼져 있는데 괜찮은건가요?,22
134,4,39,헤리티지 체다,좋아요 ,와인안주로 잘먹었어요,4
